game_no,team,opp,result,location,FG,FGA,x2P,x2PA,x3P,x3PA,FT,FTA,PTS
249,DET,MIA,L,H,36,85,28,58,8,27,16,21,96
250,MIA,DET,W,H,36,79,31,58,5,21,20,28,97
251,GSW,HOU,W,H,45,88,34,47,11,41,12,16,113
252,HOU,GSW,L,H,33,85,28,54,5,31,35,39,106
253,IND,MIN,L,H,40,81,35,63,5,18,29,35,114
254,MIN,IND,W,H,37,78,28,58,9,20,32,37,115
255,LAL,WAS,L,H,43,85,35,63,8,22,14,16,108
256,WAS,LAL,W,H,48,94,42,71,6,23,17,25,119
257,DEN,POR,L,H,44,94,35,64,9,30,16,20,113
258,POR,DEN,W,H,45,91,37,64,8,27,24,33,122
259,DAL,OKC,L,H,33,80,23,51,10,29,15,19,91
260,OKC,DAL,W,H,37,85,31,62,6,23,12,14,92
261,DET,NYK,L,H,36,84,27,61,9,23,14,21,95
262,NYK,DET,W,H,45,84,38,63,7,21,12,13,109
263,MEM,SAC,L,H,31,90,26,64,5,26,23,29,90
264,SAC,MEM,W,H,31,67,25,42,6,25,23,30,91
265,CLE,SAS,L,H,31,83,27,57,4,26,8,13,74
266,SAS,CLE,W,H,41,86,34,60,7,26,14,17,103
267,ORL,TOR,L,H,43,88,39,68,4,20,22,28,112
268,TOR,ORL,W,H,49,83,39,68,10,15,23,35,131
269,NOP,UTA,L,H,37,80,27,55,10,25,16,24,100
270,UTA,NOP,W,H,41,85,26,58,15,27,11,18,108
271,ATL,BRK,L,H,34,98,29,71,5,27,19,32,92
272,BRK,ATL,W,H,38,86,32,64,6,22,25,30,107
273,BOS,MIA,W,H,41,77,33,53,8,24,22,25,112
274,MIA,BOS,L,H,41,91,34,62,7,29,19,24,108
275,CHO,PHO,W,H,42,87,28,57,14,30,22,24,120
276,PHO,CHO,L,H,41,81,35,65,6,16,18,22,106
277,DEN,NOP,L,H,36,95,30,70,6,25,12,14,90
278,NOP,DEN,W,H,48,97,39,70,9,27,10,12,115
279,GSW,MEM,W,H,39,71,22,40,17,31,11,15,106
280,MEM,GSW,L,H,38,85,30,56,8,29,10,15,94
